Species,baseline_DBH_cm,crown_slope,crown_curve,height_slope,age_slope,noise_sigma
Amla,8.31,0.18,0.08,0.42,0.34,0.15
Bakul,7.35,0.19,0.02,-0.2,1.02,0.13
Bamboo,7.28,0.36,0.02,0.22,0.37,0.34
Chandan,7.32,0.49,-0.03,0.28,0.45,0.13
Chiku,9.5,0.38,0.19,0.28,-0.1,0.26
Custard apple,8.32,0.57,-0.04,0.28,-0.04,0.2
Guava,5.96,0.73,0.35,0.19,-0.74,0.21
Jamun,10.13,0.36,0.04,0.49,0.25,0.21
Kaduneem,7.84,0.5,0.15,0.46,0.16,0.19
Kaju,8.13,0.37,0.07,0.43,-0.24,0.29
Kanchan,8.78,0.38,0.02,0.23,0.12,0.18
Kashid,8.54,0.21,0.02,0.24,-0.03,0.24
Lemon,10.11,0.74,-0.02,0.32,-0.17,0.24
Mango,9.93,0.5,-0.01,0.27,0.32,0.23
Orange,10.33,0.45,-0.1,0.54,-0.15,0.24
Pimpal,7.74,0.15,0.0,0.53,0.02,0.17
Sandalwood,8.02,0.34,-0.15,0.22,0.12,0.17
Shisam,9.43,0.33,-0.06,0.18,0.53,0.16
Tamarind,8.65,0.54,0.08,0.43,0.09,0.25
