species,district,dbh_true,dbh_wrong,dbh_correct,co2_true,co2_wrong,co2_correct
Amla,Gadchiroli,53.50318471,41.69129885880105,42.016112671038776,3236.190807035221,1814.2567888073431,1942.1234627744743
Amla,Ahmednagar,6.369426752,6.148940058461281,6.239939612353357,23.21165870931023,21.38995996736361,23.039687332690107
Amla,Ahmednagar,7.643312102,6.984396347008365,7.047605272635673,35.432897434458596,28.745665221613052,30.657117983503746
Amla,Ahmednagar,7.006369427,6.400133867573617,6.522557085263383,28.955909184533045,23.472102027756694,25.618834562773316
Amla,Gadchiroli,9.23566879,20.465124237647096,20.763819259688237,54.96420382739869,348.1342437114067,378.2677336876339
Amla,Ahmednagar,11.46496815,6.81201490694798,6.924948354248184,90.76917493401163,27.12643600329221,29.511640132210154
Amla,Ahmednagar,5.414012739,6.024388400681735,6.122773432855322,15.920550619963201,20.398181208656403,22.12548439430231
Amla,Ahmednagar,4.777070064,5.011616633646736,5.106866339580305,11.908259975651667,13.308893914043695,14.63212705564066
Amla,Gadchiroli,27.70700637,31.54090894160956,32.21668629863481,703.0743474057459,949.6892554965059,1041.774946180427
Bakul,Pune,4.777070064,4.566203224485546,4.641609485867905,11.908259975651667,10.724116377751924,11.670328768424854
Bakul,Pune,4.458598726,4.6442001886819675,4.782703013061851,10.146905811689306,11.153899616055334,12.6376723149225
Bakul,Ahmednagar,6.369426752,5.857836098354139,5.909358278320193,23.21165870931023,19.113653601008917,20.34749462093268
Bakul,Pune,3.821656051,5.025274456021559,5.082215130509565,7.09605670261685,13.393191325087557,14.45027806322064
Bakul,Ahmednagar,2.229299363,7.08754793520941,7.168407683734484,2.032095149120845,29.74021550043978,33.114016779253944
Bakul,Pune,3.503184713,7.506553912448627,7.8872793893210895,5.798926654567344,33.979390191989964,43.43552297018501
Chandan,Ahmednagar,4.140127389,4.99766446593718,5.039769684805622,8.544077200340189,13.223092327675513,13.959237262345498
Chandan,Ahmednagar,4.458598726,4.5264137394764274,4.594861038171826,10.146905811689306,10.508560431672057,11.259274028372095
Chandan,Ahmednagar,4.777070064,4.345866579371859,4.399929994190527,11.908259975651667,9.561600464366826,10.200990423041896
Chandan,Ahmednagar,3.184713376,3.597714100830745,3.6502757848083234,4.648540150229806,6.1684378592475335,6.600703025127419
Chandan,Ahmednagar,2.866242038,3.482379570208314,3.5177938100133677,3.6404846830585993,5.719340283228027,6.037856846786005
Chandan,Ahmednagar,3.821656051,4.367943526560375,4.424973437748162,7.09605670261685,9.674667408895385,10.331668288451215
Chandan,Ahmednagar,3.821656051,3.3906906335875555,3.4111144111492107,7.09605670261685,5.376032881364251,5.64623422626492
Chandan,Ahmednagar,4.458598726,4.540477546579048,4.596089855174115,10.146905811689306,10.584465335484683,11.28254606552751
Chiku,Gadchiroli,35.03184713,23.58147005935231,24.234321214485632,1211.5675022493895,483.6796333888424,569.1917967727978
Chiku,Ahmednagar,11.78343949,10.617602981492318,11.007825793161075,96.72630239989367,75.95822508009127,92.25827832889522
Chiku,Ahmednagar,12.10191083,8.795239020957403,9.037416458848934,102.89979999652833,49.07359897102211,57.945366848642266
Chiku,Ahmednagar,8.917197452,6.851625406565018,7.088022959009486,50.66677000623624,27.493785977258632,33.4037911283273
Chiku,Gadchiroli,40.44585987,28.49995676611815,29.518170551707613,1690.9906991224345,750.6403686722381,908.7370266483096
Chiku,Ahmednagar,10.1910828,12.192039430972384,12.560690887816504,69.06603681083587,104.68646180131665,123.72992746873439
Chiku,Ahmednagar,11.14649682,10.025334341025399,10.31583466359368,85.02652884565536,66.48791848512873,78.46958189996424
Chiku,Ahmednagar,6.687898089,10.527328108058844,11.015113160443226,25.99353527108367,74.46831009618133,93.25602076356084
Chiku,Ahmednagar,13.05732484,15.65200690222856,16.042232536377007,122.73689543937712,186.89420744981553,218.71306590349545
Chiku,Gadchiroli,32.48407643,27.966231960538668,29.052494857564753,1016.8783118140694,718.4294829379727,877.8682992617812
Chiku,Ahmednagar,20.70063694,20.980675475698956,21.78380942974578,357.4996110223507,368.82005779325704,449.9519230974285
Chiku,Ahmednagar,9.23566879,8.405652952337459,8.682991419689362,54.96420382739869,44.177297596519516,52.508944956844665
Chiku,Ahmednagar,11.78343949,13.320871613267368,13.777122943601926,96.72630239989367,128.5609581903294,155.6262851119886
Chiku,Ahmednagar,9.23566879,7.852445287538118,8.085228410481509,54.96420382739869,37.72287479633708,44.91746083738359
Chiku,Gadchiroli,24.84076433,23.585459063003572,24.627478969366607,545.727783298702,483.86947343412857,597.9581172348317
Chiku,Ahmednagar,27.07006369,28.47694445797499,29.597791041643163,666.1445725727192,749.2349542813386,914.1776481230885
Chiku,Ahmednagar,8.598726115,7.8156726821110745,8.13962904822867,46.56724222750842,37.314302843908735,45.574654488744564
Chiku,Ahmednagar,6.687898089,7.0823393024175365,7.414640063397649,25.99353527108367,29.6895340371199,37.25770249015
Chiku,Ahmednagar,9.554140127,7.127147262591847,7.378402342272936,59.46177883303448,30.12713745696297,36.472573889339344
Chiku,Ahmednagar,14.01273885,11.271532028383207,11.699620325582341,144.58618392934056,87.25570112136407,106.22651853801067
Custard apple,Ahmednagar,5.414012739,5.552378655503338,5.6462769502910914,15.920550619963201,16.8804813420206,18.55063437598782
Custard apple,Ahmednagar,3.184713376,2.8801773112742413,2.9654811871456297,4.648540150229806,3.6816794345069916,4.1921377777260105
Custard apple,Pune,13.05732484,15.290116704503957,15.606334235494051,122.73689543937712,177.0216671182356,196.2176726649084
Custard apple,Ahmednagar,5.095541401,5.495421684752683,5.633569532638756,13.831680419711718,16.48146237978032,18.503075343709163
Custard apple,Ahmednagar,6.369426752,5.428202501423447,5.5312023084095125,23.21165870931023,16.017524043825336,17.717190378539808
Custard apple,Ahmednagar,9.23566879,8.680306442849256,8.782172381488131,54.96420382739869,47.59865742575577,52.02776884808144
Custard apple,Ahmednagar,6.369426752,5.963250984641034,6.033266603409704,23.21165870931023,19.921137602393898,21.664404944508973
Custard apple,Ahmednagar,8.280254777,7.321500058713032,7.418003864751907,42.66333031348004,32.06753169823281,34.992796450062315
Custard apple,Ahmednagar,7.961783439,7.202477921750853,7.352508442725894,38.95268567407704,30.871054228138103,34.380510293733295
Custard apple,Ahmednagar,6.050955414,6.205041395112351,6.332816699305888,20.60748253890276,21.845451981468127,24.399352847643755
Custard apple,Ahmednagar,5.414012739,5.213497659908825,5.284238489528085,15.920550619963201,14.585894711565949,15.874943918006519
